"price","interest_level","interest_Nbr"
3161,"low",1
2850,"medium",2
2595,"high",3
2200,"high",3
5200,"low",1
4000,"medium",2
2650,"medium",2
3141,"low",1
2798,"medium",2
2990,"medium",2
2200,"low",1
2695,"low",1
7500,"medium",2
4970,"low",1
3300,"low",1
4590,"low",1
2350,"medium",2
1650,"medium",2
3025,"medium",2
2550,"low",1
2900,"low",1
3695,"low",1
3345,"low",1
3460,"low",1
2575,"low",1
2995,"low",1
3200,"low",1
3855,"medium",2
3650,"low",1
5500,"high",3
9500,"low",1
1952,"medium",2
2300,"medium",2
6000,"low",1
1850,"low",1
2550,"low",1
2850,"low",1
3156,"low",1
2350,"medium",2
4400,"low",1
4000,"low",1
58020,"low",1
1975,"low",1
4000,"low",1
3550,"medium",2
3100,"high",3
2050,"low",1
7000,"low",1
2750,"medium",2
1950,"high",3
1900,"medium",2
2275,"low",1
3625,"low",1
2695,"medium",2
3295,"low",1
2795,"low",1
2900,"low",1
2275,"low",1
4995,"medium",2
2100,"low",1
9095,"low",1
3420,"low",1
3200,"low",1
2595,"medium",2
3350,"low",1
3000,"low",1
3250,"high",3
2095,"low",1
2380,"low",1
2200,"low",1
2650,"low",1
2950,"low",1
7995,"medium",2
2950,"low",1
3700,"low",1
5695,"low",1
2700,"low",1
4370,"low",1
5070,"low",1
2600,"medium",2
2500,"medium",2
2400,"low",1
4675,"low",1
2995,"medium",2
2550,"medium",2
2600,"medium",2
2695,"low",1
4300,"medium",2
2650,"low",1
4495,"low",1
2660,"low",1
1925,"low",1
3860,"low",1
3000,"high",3
2395,"high",3
2850,"medium",2
5250,"low",1
3700,"medium",2
2099,"medium",2
3025,"low",1
2975,"low",1
2500,"low",1
6295,"low",1
1675,"medium",2
5025,"low",1
4050,"low",1
4950,"low",1
9000,"low",1
1825,"medium",2
2850,"low",1
2195,"low",1
3700,"low",1
2650,"low",1
2700,"low",1
1800,"medium",2
3000,"high",3
1825,"low",1
3100,"low",1
2729,"medium",2
2000,"medium",2
2635,"low",1
2700,"low",1
2350,"low",1
3495,"low",1
4892,"medium",2
1850,"medium",2
1800,"high",3
1425,"low",1
2300,"medium",2
5450,"low",1
2100,"low",1
1870,"low",1
2875,"high",3
2300,"medium",2
3400,"medium",2
4025,"low",1
2500,"low",1
3345,"low",1
3900,"low",1
2100,"low",1
2795,"low",1
3605,"low",1
3200,"medium",2
2195,"low",1
2600,"low",1
2150,"medium",2
3300,"low",1
2400,"medium",2
2400,"medium",2
3395,"low",1
3895,"low",1
4195,"low",1
3545,"low",1
3595,"low",1
2550,"low",1
2700,"low",1
4850,"low",1
2100,"low",1
2600,"low",1
7995,"low",1
2900,"low",1
3450,"medium",2
2950,"medium",2
6000,"medium",2
2675,"medium",2
3795,"low",1
1850,"medium",2
4600,"low",1
3875,"low",1
4250,"low",1
4708,"medium",2
1800,"medium",2
4200,"low",1
3100,"low",1
3500,"medium",2
6295,"low",1
2155,"medium",2
3000,"high",3
2275,"low",1
4295,"low",1
2400,"low",1
3350,"medium",2
5795,"low",1
5195,"medium",2
3800,"low",1
2325,"low",1
4195,"low",1
3595,"low",1
3095,"low",1
5550,"low",1
1800,"high",3
2975,"low",1
5300,"low",1
3735,"low",1
4186,"low",1
3650,"low",1
6695,"medium",2
3400,"medium",2
4095,"low",1
2700,"low",1
2350,"medium",2
4195,"low",1
2378,"medium",2
2100,"low",1
3200,"low",1
1650,"high",3
3999,"low",1
2887,"medium",2
2575,"medium",2
1750,"high",3
4915,"low",1
2975,"low",1
4295,"low",1
5000,"low",1
3200,"medium",2
2525,"low",1
3350,"low",1
3995,"low",1
6500,"low",1
2300,"medium",2
2450,"low",1
2715,"low",1
2800,"low",1
4300,"low",1
2200,"low",1
3400,"low",1
4025,"low",1
3100,"low",1
3855,"low",1
4095,"medium",2
2150,"low",1
2650,"low",1
2550,"low",1
3400,"low",1
2595,"low",1
4600,"low",1
1700,"medium",2
2350,"low",1
2780,"low",1
2250,"medium",2
2350,"low",1
2150,"low",1
3000,"low",1
5903,"low",1
2750,"medium",2
2855,"low",1
1350,"high",3
3350,"low",1
3390,"low",1
3970,"low",1
7400,"low",1
5400,"low",1
5200,"medium",2
1990,"low",1
4995,"low",1
2625,"low",1
1700,"medium",2
2292,"low",1
2850,"low",1
2550,"medium",2
6380,"low",1
1600,"high",3
2595,"low",1
5800,"low",1
7600,"low",1
3950,"low",1
3395,"low",1
3300,"low",1
2475,"low",1
3300,"low",1
3835,"low",1
2500,"low",1
2195,"low",1
2525,"low",1
5600,"low",1
1900,"medium",2
3495,"low",1
3995,"high",3
3437,"low",1
3520,"low",1
2495,"low",1
3865,"low",1
2999,"low",1
3495,"medium",2
5290,"low",1
3200,"low",1
2800,"medium",2
2600,"low",1
3450,"low",1
5700,"low",1
4900,"low",1
1800,"low",1
5800,"low",1
2300,"medium",2
1900,"medium",2
3495,"low",1
4500,"medium",2
2700,"low",1
3800,"medium",2
2800,"low",1
1662,"low",1
2770,"low",1
4370,"low",1
2600,"high",3
3300,"low",1
3100,"low",1
1900,"medium",2
2300,"low",1
2395,"low",1
4310,"low",1
7750,"low",1
3500,"medium",2
2600,"low",1
3200,"low",1
3665,"low",1
5600,"medium",2
3050,"low",1
2865,"medium",2
3725,"low",1
3500,"high",3
4595,"low",1
4500,"medium",2
2200,"low",1
5995,"low",1
1500,"low",1
1875,"high",3
2395,"low",1
3450,"low",1
6045,"low",1
4676,"high",3
3850,"low",1
2750,"low",1
3600,"medium",2
4390,"low",1
2895,"low",1
2400,"medium",2
2350,"low",1
2595,"low",1
2000,"medium",2
3400,"low",1
18000,"low",1
3600,"low",1
2200,"low",1
3500,"low",1
2650,"high",3
2600,"medium",2
2750,"low",1
2195,"high",3
5550,"low",1
7800,"low",1
1995,"medium",2
4995,"high",3
2975,"medium",2
2750,"low",1
4181,"low",1
3700,"low",1
4295,"low",1
2300,"medium",2
4195,"low",1
2800,"medium",2
5600,"low",1
3000,"low",1
3290,"low",1
3495,"low",1
4380,"low",1
4000,"low",1
2750,"low",1
3150,"low",1
7700,"low",1
2995,"medium",2
5295,"medium",2
2495,"high",3
4995,"low",1
3190,"low",1
2600,"low",1
2800,"low",1
4604,"low",1
2665,"low",1
4465,"low",1
3100,"medium",2
5295,"low",1
3360,"low",1
3025,"low",1
1795,"medium",2
1825,"medium",2
3695,"low",1
1900,"low",1
1525,"low",1
2080,"medium",2
2900,"low",1
2675,"low",1
2500,"medium",2
7850,"medium",2
3700,"low",1
8480,"low",1
1900,"low",1
3500,"low",1
2759,"medium",2
1625,"medium",2
1850,"low",1
7150,"low",1
2290,"low",1
2700,"low",1
3350,"low",1
2450,"low",1
6500,"medium",2
3350,"medium",2
3900,"low",1
3400,"low",1
2050,"medium",2
2400,"low",1
4700,"low",1
2800,"medium",2
7195,"low",1
2384,"medium",2
2350,"medium",2
2300,"low",1
3100,"high",3
2200,"medium",2
4380,"low",1
6095,"low",1
2000,"low",1
4575,"low",1
3000,"low",1
1795,"low",1
1600,"medium",2
5200,"medium",2
2500,"low",1
2650,"medium",2
2200,"low",1
3100,"medium",2
3295,"low",1
4995,"low",1
2750,"medium",2
4100,"medium",2
2800,"low",1
9600,"low",1
2450,"medium",2
5195,"low",1
2675,"low",1
5499,"low",1
2375,"medium",2
4100,"low",1
2900,"medium",2
2400,"medium",2
8100,"low",1
3600,"medium",2
1850,"medium",2
2175,"low",1
8500,"low",1
5200,"low",1
1750,"low",1
3705,"low",1
5545,"low",1
6200,"low",1
4950,"low",1
1800,"medium",2
2895,"low",1
4450,"low",1
2150,"low",1
1856,"medium",2
2759,"low",1
2800,"low",1
3295,"low",1
2790,"low",1
2650,"low",1
3200,"medium",2
3595,"medium",2
1925,"low",1
6599,"medium",2
3795,"low",1
1800,"medium",2
2450,"medium",2
2175,"low",1
2475,"medium",2
3950,"low",1
4600,"low",1
4395,"high",3
2435,"low",1
5400,"medium",2
3600,"low",1
5000,"low",1
2965,"high",3
2800,"medium",2
6040,"low",1
2150,"medium",2
5530,"low",1
3100,"low",1
10000,"low",1
2975,"low",1
6800,"low",1
3605,"low",1
2500,"low",1
2400,"low",1
2580,"low",1
3179,"medium",2
4955,"low",1
2350,"medium",2
4995,"low",1
1795,"low",1
3350,"high",3
2250,"low",1
2400,"medium",2
4500,"medium",2
6250,"low",1
3100,"medium",2
3875,"low",1
2985,"low",1
2975,"low",1
3595,"low",1
1800,"medium",2
1600,"high",3
5300,"low",1
2495,"medium",2
1975,"low",1
3150,"medium",2
6295,"low",1
4250,"low",1
5035,"medium",2
2995,"low",1
9462,"low",1
4200,"low",1
1802,"medium",2
3399,"medium",2
2300,"low",1
3050,"low",1
1925,"medium",2
3790,"low",1
4300,"low",1
2000,"medium",2
1950,"medium",2
3750,"medium",2
2475,"low",1
2433,"medium",2
1550,"medium",2
3475,"low",1
5500,"low",1
1700,"medium",2
1850,"medium",2
1550,"high",3
2900,"medium",2
2700,"medium",2
2200,"high",3
3495,"low",1
2000,"high",3
2750,"low",1
2300,"medium",2
2550,"low",1
3200,"low",1
8085,"low",1
3400,"low",1
2395,"medium",2
7310,"low",1
1550,"medium",2
3250,"low",1
2600,"low",1
3000,"medium",2
2450,"medium",2
2500,"medium",2
8000,"low",1
3495,"low",1
5800,"low",1
3100,"high",3
2200,"medium",2
3750,"low",1
4995,"medium",2
3700,"low",1
3200,"low",1
3900,"low",1
2595,"high",3
5700,"low",1
4200,"low",1
2550,"low",1
3000,"low",1
3650,"low",1
4188,"high",3
4100,"low",1
2800,"low",1
2225,"high",3
2915,"low",1
3850,"medium",2
1999,"low",1
2250,"medium",2
2625,"medium",2
2800,"low",1
5250,"low",1
1825,"medium",2
2100,"medium",2
2125,"medium",2
4600,"low",1
2250,"low",1
4600,"medium",2
6200,"low",1
1925,"low",1
1900,"low",1
4095,"low",1
3500,"high",3
4095,"low",1
3495,"low",1
2550,"medium",2
2400,"low",1
2600,"low",1
4095,"low",1
7695,"low",1
2383,"high",3
3275,"medium",2
2375,"low",1
3850,"low",1
2350,"low",1
5000,"low",1
3195,"low",1
5200,"low",1
1625,"low",1
2395,"low",1
3500,"medium",2
2725,"low",1
3500,"low",1
1965,"low",1
2800,"low",1
2500,"low",1
2300,"medium",2
3600,"low",1
2795,"low",1
2695,"low",1
2300,"medium",2
2500,"high",3
1695,"medium",2
1850,"high",3
2600,"medium",2
4150,"low",1
20000,"low",1
4975,"low",1
6000,"medium",2
4000,"low",1
2300,"medium",2
6500,"low",1
2380,"medium",2
3600,"low",1
5289,"low",1
2175,"low",1
1900,"high",3
3195,"low",1
4340,"medium",2
6000,"low",1
5595,"low",1
2500,"high",3
3200,"low",1
5700,"low",1
1950,"low",1
3600,"low",1
2095,"high",3
3958,"medium",2
4300,"medium",2
2978,"medium",2
3000,"high",3
2775,"low",1
3200,"medium",2
3500,"medium",2
2900,"medium",2
2450,"low",1
2900,"low",1
9500,"low",1
2199,"low",1
3729,"low",1
4200,"low",1
6200,"low",1
3100,"low",1
2350,"medium",2
3300,"low",1
1800,"low",1
1750,"low",1
5000,"medium",2
3600,"medium",2
2075,"low",1
2200,"medium",2
5100,"high",3
3500,"high",3
2995,"medium",2
13500,"low",1
2850,"medium",2
2975,"low",1
2650,"medium",2
4295,"low",1
2200,"medium",2
6300,"medium",2
3000,"low",1
3600,"medium",2
8000,"low",1
1449,"high",3
2599,"low",1
6400,"low",1
3000,"medium",2
3100,"low",1
3350,"low",1
2995,"low",1
2275,"medium",2
6295,"low",1
9500,"low",1
4215,"low",1
1825,"medium",2
2350,"low",1
2450,"low",1
3600,"low",1
3000,"medium",2
2200,"low",1
2790,"low",1
2495,"low",1
2850,"low",1
4605,"low",1
5125,"low",1
3000,"low",1
2400,"low",1
4995,"low",1
3650,"low",1
5817,"low",1
2250,"low",1
3100,"medium",2
3730,"low",1
4675,"low",1
1675,"low",1
4600,"low",1
5895,"low",1
7450,"low",1
7570,"low",1
6738,"low",1
2090,"medium",2
2500,"medium",2
4700,"low",1
4995,"low",1
2700,"low",1
2850,"medium",2
6395,"low",1
4750,"low",1
3800,"low",1
2970,"low",1
2700,"medium",2
3295,"low",1
3385,"medium",2
4295,"low",1
1300,"high",3
1800,"medium",2
2150,"low",1
2700,"low",1
2795,"low",1
4350,"low",1
3300,"low",1
2995,"medium",2
3650,"medium",2
3945,"low",1
3550,"low",1
2400,"medium",2
2250,"medium",2
2295,"low",1
3333,"medium",2
3465,"low",1
3600,"low",1
4500,"low",1
4100,"medium",2
2450,"medium",2
1650,"medium",2
5950,"low",1
2750,"low",1
3450,"low",1
5200,"low",1
5465,"low",1
4200,"low",1
4000,"low",1
3150,"low",1
2300,"medium",2
3500,"low",1
2650,"low",1
2650,"low",1
3600,"low",1
1595,"low",1
2250,"low",1
3275,"medium",2
2400,"low",1
3720,"low",1
1850,"low",1
2445,"low",1
1725,"medium",2
4000,"medium",2
3195,"low",1
3450,"low",1
2400,"low",1
4900,"low",1
2448,"low",1
1950,"medium",2
1775,"low",1
4600,"low",1
2675,"high",3
2300,"low",1
5100,"low",1
1650,"low",1
5695,"low",1
2750,"low",1
6550,"low",1
1550,"medium",2
2000,"high",3
3200,"low",1
3795,"low",1
2350,"low",1
3000,"low",1
3491,"low",1
3900,"low",1
3095,"low",1
2000,"medium",2
1701,"low",1
2700,"low",1
3650,"low",1
2300,"medium",2
1550,"high",3
9000,"low",1
1850,"low",1
5975,"low",1
2475,"low",1
4395,"low",1
4065,"low",1
13500,"low",1
3571,"low",1
3292,"low",1
2500,"low",1
3775,"low",1
2600,"medium",2
2500,"low",1
2995,"low",1
1700,"high",3
1900,"low",1
5994,"low",1
5900,"low",1
4550,"low",1
1849,"low",1
3750,"low",1
2275,"high",3
2100,"low",1
4300,"low",1
3175,"low",1
1995,"high",3
2490,"low",1
2200,"medium",2
2017,"low",1
7675,"low",1
3795,"low",1
4295,"low",1
2400,"low",1
24000,"low",1
4000,"low",1
3495,"medium",2
2500,"high",3
4000,"low",1
2195,"medium",2
2000,"low",1
8500,"low",1
3800,"medium",2
5195,"low",1
2600,"low",1
5995,"medium",2
2750,"low",1
4020,"medium",2
2400,"medium",2
2900,"low",1
4000,"low",1
4500,"low",1
3250,"medium",2
3450,"medium",2
2500,"medium",2
2100,"medium",2
28000,"low",1
3700,"low",1
4672,"low",1
3650,"low",1
3300,"low",1
3000,"low",1
5750,"low",1
2675,"low",1
3500,"low",1
2750,"low",1
1650,"medium",2
1700,"low",1
3450,"low",1
1780,"low",1
6375,"low",1
4487,"medium",2
2350,"low",1
2350,"medium",2
2095,"low",1
2800,"high",3
2800,"low",1
3578,"low",1
2950,"low",1
2500,"medium",2
3275,"low",1
3735,"low",1
4000,"low",1
3400,"medium",2
2895,"low",1
2800,"medium",2
3500,"medium",2
5000,"low",1
2499,"medium",2
2495,"low",1
13000,"low",1
3695,"low",1
2250,"high",3
1695,"low",1
2850,"low",1
5495,"low",1
2750,"low",1
3450,"medium",2
2900,"medium",2
3200,"medium",2
30000,"low",1
2600,"medium",2
4000,"low",1
2795,"low",1
5500,"low",1
3500,"low",1
3460,"low",1
5950,"low",1
2895,"low",1
2850,"low",1
2700,"low",1
2350,"medium",2
4686,"low",1
4995,"low",1
5550,"low",1
6000,"low",1
2720,"medium",2
4450,"low",1
6100,"medium",2
2500,"low",1
2500,"low",1
3150,"low",1
5945,"low",1
6500,"low",1
2250,"medium",2
2700,"high",3
3000,"low",1
3000,"low",1
3650,"low",1
6895,"low",1
4500,"low",1
3400,"low",1
1800,"medium",2
4520,"medium",2
1795,"medium",2
3050,"low",1
2600,"low",1
3600,"low",1
3200,"low",1
2100,"low",1
1900,"low",1
3075,"high",3
2500,"medium",2
3020,"medium",2
4400,"low",1
3495,"medium",2
4500,"low",1
4650,"low",1
2850,"low",1
2100,"low",1
1900,"medium",2
2650,"low",1
1995,"medium",2
5150,"medium",2
1450,"low",1
2100,"medium",2
4995,"low",1
2700,"low",1
3300,"medium",2
2352,"medium",2
2650,"low",1
3600,"low",1
2990,"medium",2
2400,"low",1
2595,"low",1
1850,"medium",2
3295,"low",1
3200,"low",1
3395,"low",1
5500,"low",1
5250,"high",3
1900,"high",3
4695,"low",1
3395,"medium",2
3800,"medium",2
13555,"low",1
2800,"medium",2
3550,"low",1
4199,"low",1
4400,"medium",2
2595,"low",1
2650,"low",1
2150,"medium",2
3840,"low",1
2900,"medium",2
2100,"medium",2
3100,"low",1
7000,"low",1
3450,"low",1
3000,"high",3
2575,"low",1
6000,"medium",2
2600,"low",1
4000,"low",1
2750,"medium",2
2650,"low",1
5500,"low",1
1275,"high",3
5195,"low",1
3650,"low",1
4942,"low",1
3375,"low",1
1900,"low",1
2225,"medium",2
2750,"low",1
3150,"low",1
2295,"medium",2
3300,"medium",2
3050,"medium",2
2950,"medium",2
4200,"medium",2
5473,"medium",2
3100,"medium",2
1649,"medium",2
4500,"low",1
3350,"low",1
2500,"low",1
3120,"low",1
3150,"low",1
1800,"low",1
1995,"low",1
2995,"low",1
2595,"low",1
4200,"low",1
5225,"low",1
2550,"low",1
2450,"low",1
6000,"medium",2
3500,"medium",2
4195,"low",1
3350,"low",1
1395,"high",3
3600,"low",1
3295,"low",1
4500,"low",1
2150,"high",3
2895,"low",1
3300,"medium",2
2825,"low",1
8000,"low",1
8800,"low",1
3400,"low",1
3300,"high",3
2300,"low",1
1695,"low",1
3400,"low",1
4270,"medium",2
4747,"low",1
3300,"low",1
2620,"medium",2
2600,"low",1
8250,"low",1
4595,"high",3
3200,"high",3
2250,"low",1
5630,"low",1
4610,"low",1
4945,"low",1
4250,"low",1
1675,"low",1
2100,"medium",2
2300,"low",1
15000,"low",1
10000,"low",1
1650,"low",1
2700,"low",1
3650,"low",1
5695,"low",1
2300,"low",1
5550,"low",1
4200,"low",1
2700,"low",1
2250,"medium",2
3150,"medium",2
2225,"low",1
2100,"low",1
2940,"low",1
1950,"medium",2
3695,"low",1
3495,"low",1
4925,"low",1
3100,"low",1
3895,"low",1
5000,"medium",2
2550,"low",1
3500,"low",1
3800,"low",1
1625,"low",1
1850,"low",1
4675,"high",3
13650,"low",1
3500,"low",1
2000,"low",1
2630,"medium",2
4650,"low",1
1763,"low",1
3495,"low",1
2975,"low",1
4295,"low",1
5015,"medium",2
2475,"medium",2
14000,"low",1
2500,"low",1
5500,"low",1
3325,"low",1
7200,"medium",2
7000,"low",1
2400,"low",1
2750,"low",1
2950,"low",1
2995,"low",1
2965,"high",3
2300,"low",1
3295,"low",1
1400,"medium",2
3150,"low",1
2600,"medium",2
2500,"low",1
2500,"low",1
4095,"low",1
3800,"low",1
2850,"medium",2
3065,"low",1
2400,"medium",2
3000,"low",1
4500,"medium",2
3431,"low",1
5400,"medium",2
2995,"low",1
2725,"low",1
1750,"low",1
3195,"low",1
3170,"low",1
3850,"low",1
3000,"low",1
2350,"low",1
4400,"medium",2
6692,"low",1
5500,"low",1
3895,"low",1
7083,"low",1
3200,"low",1
7895,"low",1
2760,"medium",2
2495,"medium",2
2380,"low",1
3100,"low",1
1950,"low",1
4500,"low",1
3690,"low",1
4300,"low",1
2690,"low",1
5200,"medium",2
3995,"medium",2
3000,"low",1
10000,"low",1
2000,"low",1
3680,"low",1
3100,"medium",2
1300,"high",3
3200,"low",1
1895,"low",1
4950,"low",1
3900,"low",1
2913,"medium",2
4514,"medium",2
4200,"low",1
7799,"low",1
3950,"medium",2
2199,"low",1
2400,"high",3
7950,"low",1
5525,"medium",2
3871,"low",1
3483,"low",1
2895,"low",1
4195,"low",1
2300,"low",1
3500,"low",1
2200,"low",1
1900,"low",1
1750,"low",1
1995,"medium",2
2300,"low",1
2800,"medium",2
2653,"low",1
3016,"low",1
3000,"medium",2
4500,"low",1
2910,"low",1
2100,"low",1
3200,"low",1
2795,"medium",2
3195,"medium",2
2695,"medium",2
3800,"low",1
5900,"low",1
4995,"low",1
4095,"low",1
3399,"medium",2
1900,"high",3
3250,"high",3
3450,"low",1
2900,"low",1
4650,"low",1
5510,"low",1
10000,"low",1
2995,"low",1
5680,"low",1
3300,"medium",2
3500,"low",1
4500,"low",1
2682,"low",1
4995,"low",1
3000,"low",1
3375,"low",1
2400,"high",3
2600,"low",1
1600,"high",3
5200,"low",1
2250,"low",1
2799,"low",1
4600,"low",1
7000,"high",3
3100,"low",1
5299,"low",1
4000,"low",1
3995,"low",1
6030,"low",1
3350,"low",1
2750,"low",1
3395,"low",1
2850,"low",1
2450,"low",1
2750,"low",1
5100,"low",1
2795,"medium",2
7800,"low",1
1795,"low",1
2525,"low",1
2675,"low",1
3595,"low",1
4000,"low",1
2750,"medium",2
4685,"low",1
3800,"low",1
2050,"low",1
5900,"low",1
2075,"low",1
6250,"low",1
2995,"low",1
3495,"low",1
2625,"medium",2
3778,"low",1
2750,"low",1
2250,"low",1
2350,"medium",2
5000,"low",1
2743,"low",1
2100,"low",1
4700,"medium",2
5500,"low",1
2450,"medium",2
2900,"low",1
3565,"medium",2
3095,"low",1
2720,"medium",2
2150,"low",1
6295,"medium",2
4300,"low",1
2300,"low",1
3750,"medium",2
3600,"low",1
3290,"low",1
2400,"low",1
6500,"low",1
2850,"low",1
3090,"low",1
2895,"low",1
2995,"medium",2
3350,"low",1
3250,"low",1
2995,"low",1
2200,"low",1
1950,"high",3
3000,"high",3
1800,"medium",2
5500,"low",1
3150,"low",1
3675,"low",1
4395,"low",1
2150,"low",1
4000,"low",1
5200,"low",1
2850,"low",1
2900,"medium",2
5400,"low",1
2900,"low",1
3150,"medium",2
4500,"low",1
3150,"high",3
2370,"low",1
3799,"medium",2
3350,"low",1
2700,"high",3
6250,"low",1
6495,"low",1
2595,"low",1
2600,"low",1
3500,"low",1
5970,"low",1
3200,"low",1
3300,"medium",2
1600,"medium",2
4200,"low",1
2495,"medium",2
2830,"low",1
2950,"low",1
2425,"low",1
3650,"low",1
3600,"medium",2
2850,"low",1
2750,"low",1
6395,"low",1
2000,"low",1
2150,"low",1
3190,"low",1
20000,"low",1
2650,"low",1
2149,"low",1
3175,"low",1
2600,"medium",2
4470,"low",1
2825,"low",1
2775,"medium",2
3000,"medium",2
2750,"low",1
5395,"low",1
2395,"medium",2
1350,"high",3
3250,"low",1
2598,"low",1
4400,"low",1
3795,"low",1
2453,"low",1
3800,"low",1
1900,"medium",2
1875,"low",1
2350,"low",1
3300,"low",1
2525,"medium",2
1750,"high",3
4500,"high",3
2400,"low",1
2799,"low",1
10500,"low",1
2050,"medium",2
3260,"low",1
5000,"low",1
1800,"high",3
2200,"low",1
2450,"medium",2
5790,"low",1
2350,"low",1
3300,"medium",2
4450,"low",1
3650,"low",1
2600,"low",1
3150,"low",1
3600,"low",1
4950,"low",1
2700,"medium",2
4150,"low",1
3200,"low",1
3800,"low",1
2100,"medium",2
3000,"low",1
5950,"medium",2
3500,"low",1
2750,"low",1
4200,"low",1
2800,"high",3
5800,"low",1
3650,"low",1
2000,"high",3
5179,"low",1
3400,"medium",2
4870,"low",1
3400,"medium",2
3987,"low",1
2150,"low",1
3650,"medium",2
5000,"high",3
1795,"low",1
2800,"medium",2
3200,"medium",2
1900,"medium",2
2400,"low",1
3185,"medium",2
2500,"medium",2
3500,"high",3
3500,"high",3
6850,"low",1
5800,"low",1
4000,"high",3
3500,"low",1
1875,"low",1
2695,"low",1
5400,"low",1
3095,"low",1
3365,"low",1
14000,"low",1
11220,"low",1
2495,"low",1
2700,"low",1
4295,"low",1
4300,"low",1
3200,"high",3
7000,"low",1
4000,"low",1
3250,"medium",2
2200,"low",1
1800,"medium",2
3750,"medium",2
2125,"low",1
2375,"high",3
3895,"low",1
2775,"low",1
3195,"low",1
1950,"high",3
2495,"low",1
2700,"medium",2
2895,"low",1
5500,"low",1
2350,"low",1
2950,"low",1
3695,"low",1
7123,"low",1
1995,"medium",2
2595,"low",1
2790,"low",1
6500,"medium",2
3447,"low",1
1450,"low",1
4415,"low",1
2975,"low",1
3685,"low",1
6100,"high",3
5000,"low",1
1850,"high",3
2195,"medium",2
2095,"low",1
2450,"low",1
4095,"low",1
3100,"low",1
5100,"low",1
2400,"low",1
2995,"low",1
2625,"low",1
2025,"low",1
4700,"low",1
5000,"medium",2
4495,"low",1
3200,"low",1
2200,"low",1
3760,"low",1
4000,"low",1
5200,"low",1
2300,"low",1
3650,"low",1
7600,"low",1
3900,"low",1
3400,"low",1
3710,"low",1
3150,"low",1
6000,"medium",2
3425,"medium",2
5595,"low",1
3000,"medium",2
2200,"low",1
3695,"low",1
2125,"low",1
2800,"low",1
3400,"low",1
1700,"medium",2
2200,"high",3
3900,"low",1
2595,"low",1
3900,"low",1
3600,"medium",2
3300,"low",1
2385,"high",3
1850,"low",1
6187,"low",1
2295,"high",3
2895,"low",1
2750,"medium",2
4250,"low",1
2200,"medium",2
2590,"high",3
3299,"low",1
3324,"low",1
6368,"low",1
4400,"low",1
2995,"medium",2
5200,"low",1
2750,"low",1
3400,"low",1
3923,"medium",2
4295,"low",1
4000,"medium",2
4695,"low",1
2695,"medium",2
3000,"low",1
2250,"medium",2
2395,"low",1
3450,"low",1
2995,"low",1
3995,"medium",2
4495,"low",1
3295,"low",1
3695,"low",1
2300,"low",1
3795,"low",1
