"listing_id","interest_level","interest_Nbr","senti_anger","senti_anticipation","senti_disgust","senti_fear","senti_joy","senti_sadness","senti_surprise","senti_trust","senti_negative","senti_positive"
7120917,"high",3,2,2,1,2,3,2,1,3,4,7
7136806,"high",3,4,5,3,3,4,2,3,4,4,7
7109319,"low",1,0,0,0,0,0,0,0,0,0,2
7115282,"medium",2,0,1,0,0,1,0,1,2,0,4
7146676,"medium",2,0,1,0,0,2,0,1,2,0,4
7215893,"low",1,0,0,0,0,0,0,0,0,0,0
7165629,"medium",2,0,0,0,0,0,1,0,0,1,3
7219540,"medium",2,0,1,0,0,1,0,0,1,0,2
7136465,"low",1,0,1,0,0,1,1,1,1,0,2
7232225,"low",1,1,5,1,2,7,1,2,7,4,17
7105202,"medium",2,0,4,0,0,3,0,2,4,1,10
7126430,"low",1,0,1,0,0,0,0,0,1,0,2
7111867,"low",1,1,3,2,1,4,1,2,5,4,12
7146798,"low",1,0,3,1,1,4,2,1,3,3,11
7092134,"medium",2,1,4,0,0,4,0,2,5,2,11
7156595,"medium",2,0,0,0,0,0,0,0,0,0,2
7230524,"medium",2,2,2,0,1,3,0,1,1,3,9
7096089,"low",1,1,3,1,0,4,1,1,4,0,11
7204276,"low",1,0,0,0,1,3,0,0,2,0,9
7187503,"low",1,0,0,0,0,0,0,0,0,0,0
7157119,"low",1,1,3,1,0,6,1,2,4,2,14
7205310,"low",1,0,2,0,0,3,1,1,4,2,7
7116785,"low",1,2,1,0,0,3,0,2,5,1,10
7220345,"low",1,0,2,0,0,2,0,0,1,1,7
7213335,"low",1,0,0,0,0,0,0,0,0,0,0
7226774,"medium",2,1,1,0,0,5,0,2,10,2,15
7139673,"low",1,2,4,2,4,4,4,1,6,8,18
7158994,"high",3,2,1,0,0,1,0,0,3,3,4
7233238,"low",1,0,4,0,0,4,0,0,3,0,13
7139917,"medium",2,0,1,0,0,0,0,0,1,0,4
7141300,"medium",2,0,0,1,1,2,0,0,2,2,7
7145411,"low",1,0,0,0,0,1,0,0,1,0,2
7207430,"low",1,0,1,0,0,2,0,0,1,0,5
7125901,"low",1,0,0,0,0,0,0,0,0,0,0
7148635,"low",1,0,0,0,0,0,0,0,0,0,0
7190493,"low",1,0,0,0,0,0,0,0,0,0,8
7183609,"medium",2,2,5,0,1,6,3,3,5,3,17
7105489,"low",1,2,2,1,1,5,1,1,5,3,11
7199702,"low",1,1,3,1,1,2,1,1,3,2,6
7232177,"low",1,0,1,0,0,1,1,1,1,0,2
7699396,"low",1,0,1,1,0,1,0,0,1,1,5
7187542,"low",1,1,5,1,0,6,2,3,7,3,14
7203495,"medium",2,0,3,0,0,4,0,1,2,1,10
7154804,"high",3,1,2,0,0,4,0,2,2,2,6
7213096,"low",1,0,0,0,0,0,0,0,0,0,4
7229112,"low",1,3,4,0,0,5,1,3,3,3,13
7195985,"medium",2,0,0,0,0,1,0,0,0,0,4
7128989,"high",3,1,1,0,0,2,0,1,2,1,7
7201340,"medium",2,2,1,0,1,3,1,2,3,2,9
7160416,"low",1,0,1,0,0,1,0,0,1,0,5
7145487,"low",1,0,2,0,0,0,0,0,1,0,5
7132045,"medium",2,0,0,0,1,0,0,0,0,1,5
7127946,"low",1,0,3,0,0,2,0,1,2,2,8
7164531,"low",1,1,1,0,0,1,0,1,1,1,9
7221942,"low",1,0,0,0,0,0,0,0,0,2,4
7192439,"low",1,0,0,0,0,0,0,0,0,0,0
7140922,"medium",2,0,0,0,0,1,0,0,1,0,2
7181426,"low",1,0,1,0,0,0,0,0,0,0,1
7088015,"low",1,1,6,0,0,6,0,2,6,3,16
7162106,"low",1,2,9,1,0,11,1,7,12,5,28
7138311,"low",1,0,0,0,0,2,0,0,1,0,5
7188806,"medium",2,0,0,0,0,0,1,0,0,0,2
7164370,"low",1,0,4,0,0,9,1,1,7,2,19
7162259,"low",1,0,0,0,1,1,0,1,0,1,10
7131606,"high",3,2,3,1,0,4,0,1,3,3,7
7204441,"low",1,0,1,0,0,0,0,0,1,0,3
7189092,"low",1,0,3,0,0,3,1,0,2,0,11
7119739,"low",1,0,0,0,0,0,0,0,0,0,0
7099579,"low",1,1,2,0,0,3,0,1,4,1,6
7164940,"low",1,0,1,0,0,1,0,0,1,1,4
7091677,"medium",2,0,1,0,0,2,0,0,2,1,4
7159173,"low",1,0,0,0,0,0,0,0,0,0,2
7144584,"low",1,4,4,3,5,3,5,3,6,10,12
7170465,"low",1,1,4,0,0,3,2,3,4,2,10
7145105,"low",1,0,3,0,0,1,0,0,2,0,8
7174989,"low",1,0,0,0,0,1,0,0,4,0,7
7187660,"low",1,1,3,0,0,5,1,1,3,2,7
7101204,"medium",2,0,0,1,0,0,0,0,1,0,4
7174250,"medium",2,1,1,1,0,1,1,0,0,0,3
7206561,"low",1,0,0,1,0,0,0,0,0,0,5
7168239,"low",1,0,0,0,0,1,0,0,0,0,9
7115466,"medium",2,0,1,0,0,0,0,0,1,0,4
7150492,"medium",2,1,2,2,1,1,1,0,2,3,4
7200687,"medium",2,0,6,1,0,6,1,2,5,1,10
7118336,"low",1,0,0,0,0,1,0,0,0,0,1
7113766,"medium",2,1,2,0,0,0,0,0,0,2,5
7234398,"low",1,0,3,0,1,3,2,2,2,1,5
7219996,"low",1,0,1,0,0,2,1,0,2,1,7
7166766,"low",1,1,1,0,0,1,0,1,0,1,3
7168961,"low",1,0,2,0,0,0,0,0,1,0,2
7091303,"low",1,1,0,0,0,1,0,1,0,0,7
7113377,"high",3,0,0,0,0,0,0,0,0,0,3
7116917,"high",3,0,0,0,0,0,0,0,1,0,1
7157778,"medium",2,0,1,0,0,0,0,1,1,1,4
7143672,"low",1,0,0,0,0,2,0,0,0,0,3
7185468,"medium",2,1,2,0,0,2,0,1,1,2,6
7209367,"medium",2,2,3,0,0,1,2,0,2,3,5
7131313,"low",1,0,6,1,0,4,2,3,4,2,11
7090615,"low",1,0,1,0,0,1,0,0,2,1,7
7119653,"low",1,2,2,0,1,2,1,0,1,1,10
7214357,"low",1,0,2,0,0,0,0,0,1,0,3
7190958,"medium",2,0,1,0,0,1,0,1,1,0,2
7185090,"low",1,0,4,0,0,4,0,0,1,1,12
7106402,"low",1,0,0,0,0,3,0,0,0,0,10
7091710,"low",1,1,3,0,0,2,0,2,1,1,4
7229732,"low",1,0,1,0,0,2,0,1,2,0,8
7191894,"medium",2,0,0,0,0,0,0,0,0,0,1
7110757,"low",1,0,0,0,0,0,0,0,1,0,5
7099217,"low",1,0,0,0,0,0,0,0,0,0,2
7225712,"low",1,1,0,0,0,1,0,0,0,1,2
7168382,"low",1,2,5,1,1,7,1,2,9,5,22
7233700,"low",1,0,2,0,0,2,0,0,1,1,6
7194838,"medium",2,0,3,1,0,2,0,1,2,1,8
7087718,"high",3,0,0,0,0,1,0,0,1,1,1
7176108,"low",1,0,0,0,0,0,0,0,0,0,0
7208072,"low",1,1,6,0,0,4,1,3,4,1,10
7223233,"medium",2,1,1,1,0,1,1,1,1,0,5
7142533,"medium",2,0,1,0,0,0,0,0,0,0,6
7102561,"low",1,0,1,1,0,0,0,0,2,0,3
7151758,"low",1,0,0,0,0,0,0,0,0,0,1
7155462,"low",1,1,5,0,1,3,1,0,5,4,9
7192662,"low",1,1,4,0,0,4,0,2,5,2,12
7158810,"medium",2,0,2,0,0,4,1,1,2,0,8
7170591,"medium",2,0,0,0,1,1,0,1,1,1,3
7300648,"high",3,0,0,0,1,0,0,0,0,1,3
7147363,"low",1,0,3,0,0,4,0,1,3,0,9
7099751,"medium",2,2,2,0,1,2,1,3,2,3,8
7210590,"low",1,1,0,0,0,0,0,0,0,1,3
7153703,"low",1,0,1,0,0,1,0,0,1,1,1
7204272,"low",1,0,3,0,0,2,0,1,2,0,7
7121308,"high",3,0,0,0,0,1,0,0,0,0,3
7168526,"medium",2,0,0,0,1,3,0,0,2,0,9
7114682,"medium",2,0,5,0,2,3,1,3,4,0,9
7223738,"low",1,1,2,0,0,2,2,0,3,2,7
7134558,"low",1,0,2,0,0,1,0,0,1,0,3
7226520,"low",1,0,1,0,0,1,0,1,2,0,5
7112715,"low",1,0,2,0,0,1,0,1,2,0,10
7087774,"low",1,0,0,0,0,0,0,0,0,1,0
7161513,"low",1,1,1,0,0,1,0,1,0,0,3
7179526,"low",1,0,0,0,0,0,0,0,0,0,0
7224031,"medium",2,1,2,0,0,3,0,0,4,3,8
7207741,"low",1,0,1,0,0,1,0,1,0,1,2
7106492,"low",1,0,0,0,0,0,0,0,0,0,2
7158913,"medium",2,2,1,1,1,1,1,1,1,2,4
7173462,"low",1,1,1,0,0,1,1,0,1,2,5
7200621,"medium",2,0,2,0,2,3,1,0,4,1,7
7187028,"medium",2,1,4,0,0,0,0,0,1,0,3
7125363,"low",1,0,3,0,0,3,0,0,4,1,8
7130366,"low",1,1,2,0,0,2,1,1,1,1,7
7139958,"low",1,0,5,1,1,8,0,0,9,2,23
7208769,"low",1,0,4,0,1,2,1,1,2,1,10
7103416,"low",1,0,2,0,0,2,0,0,3,2,7
7090765,"low",1,0,0,0,0,0,0,0,0,0,3
7117601,"low",1,1,2,0,0,4,0,1,1,0,12
7137984,"low",1,0,1,1,0,4,0,1,1,2,7
7100838,"low",1,0,0,0,0,0,0,0,0,0,0
7144427,"low",1,0,0,0,0,0,1,0,2,0,6
7135068,"low",1,1,6,0,1,7,1,2,7,3,19
7202577,"low",1,0,0,0,0,0,0,0,1,0,1
7156817,"medium",2,4,3,2,3,9,2,2,5,3,20
7137239,"medium",2,0,0,0,0,0,0,0,0,0,3
7206216,"medium",2,0,0,0,0,0,0,0,0,0,0
7110900,"medium",2,2,5,0,1,6,3,3,5,3,17
7214414,"low",1,0,2,0,0,3,0,0,4,1,6
7130424,"medium",2,0,4,0,0,1,0,1,2,0,5
7152362,"low",1,0,2,2,1,0,1,0,3,4,3
7088531,"low",1,0,2,0,0,0,0,0,1,0,4
7168341,"low",1,0,1,0,0,0,0,0,1,0,3
7159381,"medium",2,3,11,1,3,11,3,5,11,3,24
7164902,"medium",2,0,2,0,0,1,1,1,2,1,4
7124373,"low",1,0,0,0,0,0,0,0,0,0,0
7230906,"low",1,0,1,1,1,2,1,0,3,2,14
7184708,"medium",2,1,1,0,0,4,0,1,4,2,14
7193065,"low",1,2,5,0,1,4,0,2,4,2,11
7166642,"medium",2,0,1,0,0,2,0,1,1,0,5
7224785,"high",3,1,3,0,0,4,0,2,3,1,7
7119275,"low",1,0,5,0,0,4,0,1,5,1,9
7157285,"low",1,1,2,0,1,2,1,0,4,2,10
7217806,"low",1,0,1,0,0,1,0,0,1,0,3
7091219,"medium",2,1,3,0,2,4,0,1,4,0,8
7135976,"low",1,1,0,0,0,2,0,0,3,1,6
7201922,"medium",2,0,0,0,0,3,0,0,0,1,5
7170059,"low",1,1,6,0,0,4,0,4,6,2,13
7129328,"low",1,0,2,0,0,1,0,1,2,0,6
7160501,"low",1,1,2,1,0,2,1,1,4,2,8
7167754,"low",1,0,2,0,0,2,0,0,3,2,7
7215169,"low",1,1,3,1,0,3,1,2,2,0,6
7130741,"low",1,1,2,0,0,3,0,0,2,2,9
7157915,"high",3,0,2,0,0,1,0,0,2,0,3
7153893,"low",1,0,1,0,0,2,0,1,3,0,4
7175290,"low",1,0,0,0,1,0,0,0,0,1,2
7222894,"low",1,0,0,0,0,0,0,0,0,0,0
7143730,"low",1,0,0,0,0,0,0,0,0,0,1
7127900,"low",1,0,2,0,0,1,0,0,1,0,9
7096090,"medium",2,0,1,0,1,1,0,1,2,2,8
7143025,"medium",2,2,1,0,0,4,0,1,4,1,9
7117553,"low",1,0,0,0,0,0,0,0,0,0,3
7185559,"low",1,0,7,0,1,9,2,4,5,1,14
7232795,"medium",2,0,2,0,0,4,0,2,2,0,9
7095707,"low",1,0,1,0,0,1,0,1,1,0,4
7198777,"medium",2,0,3,0,0,3,0,1,4,1,7
7123382,"low",1,0,0,0,0,0,0,0,1,0,5
7158186,"low",1,0,1,0,0,0,0,0,1,0,4
7126821,"high",3,0,0,0,0,0,0,0,0,0,0
7171981,"low",1,1,6,0,1,7,1,0,8,2,17
7147974,"medium",2,1,2,0,0,4,0,0,2,3,8
7090493,"medium",2,0,3,0,0,2,0,0,3,0,10
7092218,"high",3,0,1,0,1,1,0,2,4,2,7
7088124,"low",1,0,1,0,0,1,0,0,2,0,6
7187536,"low",1,0,0,0,0,3,0,0,2,0,4
7088568,"low",1,0,5,0,0,0,0,0,2,1,6
7166833,"low",1,0,0,0,0,0,0,0,0,0,2
7088798,"medium",2,1,3,0,0,1,0,3,4,0,11
7204708,"low",1,0,1,0,0,1,0,0,1,0,3
7103044,"low",1,0,1,0,0,1,0,0,3,1,6
7194049,"low",1,0,1,0,0,1,2,1,2,1,4
7169942,"low",1,1,1,0,0,2,0,1,1,1,5
7170318,"medium",2,0,2,0,0,0,0,0,1,2,6
7165386,"low",1,1,0,0,1,0,0,0,0,1,1
7206346,"low",1,1,1,0,0,1,0,1,0,1,3
7208337,"low",1,0,1,1,0,2,1,1,2,1,7
7140820,"low",1,1,3,0,0,4,0,2,5,1,11
7194486,"low",1,1,0,0,0,0,0,0,0,1,2
7105614,"low",1,1,2,0,0,4,0,1,6,1,10
7178265,"low",1,2,5,0,1,6,3,3,5,3,17
7439407,"low",1,0,0,0,0,1,0,0,0,1,5
7135550,"low",1,0,0,0,0,0,0,0,0,0,0
7092435,"medium",2,0,2,0,0,3,0,1,4,2,10
7189120,"low",1,0,3,0,0,4,0,2,5,0,8
7127815,"low",1,0,1,0,1,1,1,1,2,1,4
7099446,"low",1,1,1,0,0,2,0,1,1,1,10
7123391,"low",1,0,2,0,0,2,0,1,1,0,6
7227520,"low",1,0,4,0,0,6,0,4,5,0,10
7141615,"low",1,1,2,0,0,4,0,0,5,3,9
7185499,"medium",2,0,0,0,0,0,0,0,0,0,0
7150727,"low",1,0,0,0,0,0,0,0,0,0,0
7115250,"low",1,3,4,0,1,2,0,1,1,1,7
7182954,"medium",2,0,2,0,0,2,1,1,3,2,6
7212945,"low",1,2,1,0,0,1,1,0,2,3,7
7214737,"low",1,0,0,1,0,0,0,0,0,0,4
7162022,"low",1,1,4,1,0,3,0,0,4,2,6
7184817,"low",1,0,2,1,1,1,1,1,3,2,7
7126169,"medium",2,1,0,1,0,0,0,0,0,1,3
7218092,"low",1,0,1,0,0,1,0,0,1,0,3
7130017,"high",3,0,1,0,0,1,0,0,1,0,3
7158870,"low",1,2,1,0,2,2,2,2,1,2,6
7185260,"low",1,3,3,1,0,4,1,0,1,3,12
7133320,"low",1,1,1,1,1,4,1,0,4,2,12
7134086,"low",1,1,5,0,2,2,1,2,4,0,18
7115154,"low",1,0,1,0,1,1,0,1,3,2,8
7223279,"medium",2,1,2,0,0,5,0,1,4,1,11
7135324,"low",1,1,1,1,0,2,1,1,0,1,6
7140186,"low",1,0,2,1,0,4,0,0,1,1,10
7208829,"low",1,0,1,0,0,0,0,0,1,0,4
7195591,"medium",2,1,1,1,0,1,0,1,1,1,2
7132576,"low",1,0,2,0,0,3,2,2,3,1,7
7128756,"low",1,0,2,0,0,3,0,1,1,0,9
7124104,"medium",2,2,6,0,1,11,0,3,7,4,20
7096061,"low",1,0,1,0,0,2,1,1,1,0,7
7152668,"high",3,0,0,0,0,0,0,0,0,0,0
7146106,"low",1,1,2,1,0,2,0,2,2,1,8
7162304,"low",1,0,0,0,1,1,0,0,1,0,7
7138891,"low",1,0,0,0,0,0,0,0,0,0,0
7145131,"low",1,0,2,0,1,1,0,1,2,1,7
7109739,"low",1,1,0,1,0,1,1,0,1,2,7
7121138,"low",1,0,0,0,0,0,0,0,0,0,0
7119893,"low",1,0,1,0,0,0,0,0,1,0,2
7180107,"low",1,1,8,1,0,9,1,5,7,1,19
7197581,"low",1,0,0,0,0,0,0,0,0,0,3
7146503,"low",1,0,0,0,0,0,0,0,0,0,0
7165066,"low",1,1,6,1,0,6,2,3,9,0,18
7126403,"low",1,0,2,0,0,3,1,2,2,1,9
7152179,"low",1,0,1,0,1,2,1,0,2,1,10
7113375,"medium",2,0,0,0,0,0,0,0,0,0,0
7228553,"low",1,0,1,0,0,0,0,0,0,1,3
7200224,"high",3,1,7,0,0,7,0,4,7,3,18
7111118,"low",1,0,1,0,0,1,0,1,2,0,9
7159977,"low",1,4,5,2,2,8,3,1,9,10,20
7156707,"low",1,0,0,0,1,0,0,0,0,1,3
7101317,"low",1,0,0,0,0,0,0,0,0,0,1
7225762,"low",1,0,3,0,0,1,0,1,4,1,8
7208269,"medium",2,0,1,1,0,2,0,0,1,0,5
7093542,"low",1,0,2,0,0,2,0,1,2,0,11
7165907,"low",1,0,0,0,0,0,0,0,0,0,1
7170729,"medium",2,1,0,0,1,1,0,0,1,1,8
7132997,"low",1,1,2,0,0,2,0,0,2,0,7
7118099,"low",1,0,0,0,0,0,0,0,0,0,3
7091365,"low",1,1,0,0,0,0,0,0,0,1,1
7140656,"low",1,0,0,0,0,0,0,0,0,0,1
7158052,"low",1,1,3,0,0,2,0,1,2,2,3
7099910,"low",1,0,0,0,0,0,0,0,0,1,2
7150580,"medium",2,0,1,0,0,2,0,1,0,0,4
7098239,"medium",2,0,4,0,0,2,1,2,2,0,5
7197078,"low",1,0,1,0,1,3,0,1,4,0,9
7162719,"medium",2,3,4,0,1,6,1,1,3,4,10
7211853,"low",1,1,0,0,0,0,0,0,0,1,3
7097605,"medium",2,0,3,0,1,0,1,0,2,1,3
7101194,"low",1,1,2,0,0,4,0,2,4,0,13
7133240,"low",1,2,0,0,1,0,0,0,0,2,1
7108891,"low",1,0,1,0,0,0,0,0,0,1,1
7117383,"low",1,0,0,0,0,0,0,0,0,0,0
7093570,"high",3,0,2,0,0,3,1,2,2,1,8
7227943,"low",1,0,1,0,1,0,0,0,0,1,2
7188441,"low",1,0,5,0,0,3,0,1,4,0,7
7123083,"medium",2,0,1,0,0,0,0,0,0,0,1
7200547,"low",1,2,3,0,1,3,0,3,2,2,5
7112964,"low",1,0,0,0,0,0,0,0,0,0,1
7196283,"low",1,0,1,0,0,1,0,0,1,0,2
7122998,"low",1,0,2,1,0,3,0,0,2,1,10
7143211,"medium",2,1,0,0,0,1,0,0,3,1,4
7096958,"low",1,0,4,0,0,2,0,2,3,0,7
