"listing_id","bedrooms","bathrooms","price","created_month","created_hour","weekend","interest_level","interest_level_num","time_ofday","clean_wordcount","numPh","numFeat","distance_city"
7209804,1,1,2985,"06","06",FALSE,"low",1,"00-06",37,6,5,0.0531901961961041
7119598,1,1,4400,"06","03",FALSE,"low",1,"00-06",109,7,13,0.0921218331959405
7133917,1,1,3620,"06","02",FALSE,"low",1,"00-06",28,6,4,0.00546839385743463
7174224,4,3,4200,"06","19",FALSE,"low",1,"18-23",72,12,5,0.0787290653531566
7157060,3,2,4995,"06","10",FALSE,"low",1,"06-12",26,5,4,0.0833687335358962
7173006,0,1,1895,"06","08",FALSE,"medium",2,"06-12",49,3,2,0.071195458221571
7216314,3,3,13745,"06","05",TRUE,"low",1,"00-06",263,5,9,0.0290470251726448
7219476,1,1,3710,"06","14",TRUE,"low",1,"12-18",31,5,7,0.00563506800136504
7139119,1,1,3300,"06","02",TRUE,"low",1,"00-06",23,3,4,0.0889709472321191
7206653,3,1,4350,"06","02",FALSE,"low",1,"00-06",139,5,4,0.06941261968389
7091061,1,1,2175,"06","05",FALSE,"low",1,"00-06",0,10,3,0.125495860295785
7097027,1,1,2995,"06","03",FALSE,"low",1,"00-06",0,13,1,0.0602731458560163
7106145,3,2,2850,"06","20",FALSE,"high",3,"18-23",35,8,4,0.0646774898351897
7167352,1,1,3100,"06","02",FALSE,"low",1,"00-06",54,5,6,0.0523952050418752
7168370,0,1,2850,"06","03",FALSE,"low",1,"00-06",48,3,4,0.0269271961291927
7097907,0,1,2065,"06","04",FALSE,"low",1,"00-06",32,1,8,0.065955265380259
7231268,1,1,2050,"06","04",FALSE,"low",1,"00-06",0,3,1,0.0547124560898179
7136953,1,1,3000,"06","05",FALSE,"high",3,"00-06",49,3,10,0.0438136384175112
7163499,1,1,3510,"06","04",FALSE,"low",1,"00-06",123,5,2,0.0691885900375202
7205089,0,1,2200,"06","04",FALSE,"low",1,"00-06",35,8,4,0.0680295116209141
7215442,0,1,3650,"06","04",TRUE,"low",1,"00-06",98,6,11,0.0103832977121834
7221305,0,1,2547,"06","02",FALSE,"low",1,"00-06",18,7,4,0.0743246373107855
7218351,0,1,2950,"06","03",TRUE,"medium",2,"00-06",57,7,11,0.0485908490497907
7148695,2,1,3200,"06","09",TRUE,"medium",2,"06-12",60,6,4,0.0269995357623109
7134031,2,1.5,2500,"06","02",FALSE,"low",1,"00-06",49,5,5,0.0997276645238412
7194919,2,1,3350,"06","07",FALSE,"low",1,"06-12",102,7,5,0.0494559500098817
7198551,1,1,5550,"06","03",FALSE,"low",1,"00-06",0,45,3,0.0372850826924075
7090836,0,1,3104,"06","04",FALSE,"low",1,"00-06",0,1,5,0.0568800880043259
7129585,1,1,3050,"06","02",FALSE,"low",1,"00-06",56,9,7,0.0404171799038504
7107617,1,1,2075,"06","02",TRUE,"medium",2,"00-06",58,7,4,0.0801885477570175
7232120,1,1,2795,"06","05",FALSE,"medium",2,"00-06",55,5,5,0.0255392523653327
7158471,4,1,3295,"06","12",FALSE,"low",1,"06-12",73,8,6,0.0987370054811254
7117491,2,1,4550,"06","01",FALSE,"low",1,"00-06",0,0,1,0.011693880082335
7194997,1,1,3500,"06","07",FALSE,"low",1,"06-12",8,1,6,0.0470852589605278
7184842,0,1,1995,"06","18",FALSE,"low",1,"12-18",98,3,5,0.0498976856315003
7111019,2,1,4599,"06","06",TRUE,"low",1,"00-06",90,6,9,0.0407868021715364
7149858,2,3,10000,"06","11",TRUE,"low",1,"06-12",112,6,0,0.0288145860872549
7141788,1,1,3200,"06","04",TRUE,"low",1,"00-06",66,5,13,0.0610372089088277
7134172,1,1,3195,"06","02",FALSE,"medium",2,"00-06",56,4,12,0.0255392523653327
7233228,0,1,2717,"06","06",FALSE,"low",1,"00-06",68,6,11,0.0483032289953733
7166956,2,1,4000,"06","02",FALSE,"low",1,"00-06",52,8,3,0.0399432636545834
7134741,0,0,2625,"06","02",FALSE,"low",1,"00-06",85,8,9,0.0409979874064585
7148587,0,1,2500,"06","09",TRUE,"low",1,"06-12",0,2,1,0.0649969587856259
7114391,2,1,2550,"06","20",TRUE,"low",1,"18-23",60,12,5,0.0799642614633591
7210245,1,1,3675,"06","06",FALSE,"low",1,"00-06",45,6,18,0.0566609275548835
7200221,2,1,2500,"06","05",FALSE,"low",1,"00-06",20,4,0,0.0261634231586819
7176451,1,1,3785,"06","04",FALSE,"low",1,"00-06",39,8,2,0.0738575128973313
7112578,2,2,10800,"06","02",TRUE,"low",1,"00-06",103,7,9,0.00388828128869512
7169964,0,1,2150,"06","05",FALSE,"low",1,"00-06",81,4,5,0.0746345427491868
7129699,3,3,2895,"06","02",FALSE,"medium",2,"00-06",49,14,3,0.100509501398528
7192613,2,1,3600,"06","05",FALSE,"low",1,"00-06",30,6,4,0.0580725423188952
7137236,0,1,3025,"06","05",FALSE,"low",1,"00-06",15,4,4,0.0260349455805037
7129545,0,1,2795,"06","02",FALSE,"low",1,"00-06",13,5,6,0.0580228309493773
7167474,1,1,1875,"06","02",FALSE,"low",1,"00-06",30,7,5,0.175429311038316
7187520,1,1,3450,"06","01",FALSE,"low",1,"00-06",0,0,5,0.041475254687341
7219030,2,1,2659,"06","03",TRUE,"low",1,"00-06",37,5,4,0.101097620107398
7194762,2,2,3895,"06","07",FALSE,"low",1,"06-12",78,8,14,0.0279033182861838
7223079,3,1,3200,"06","02",FALSE,"medium",2,"00-06",48,12,4,0.0493546319141446
7197337,3,1,5400,"06","02",FALSE,"medium",2,"00-06",88,8,9,0.0338015826756702
7103559,4,2,6100,"06","03",FALSE,"medium",2,"00-06",90,6,14,0.0490960168586011
7112266,3,1,2600,"06","02",TRUE,"medium",2,"00-06",163,7,6,0.105106216045399
7172018,1,1,2700,"06","07",FALSE,"medium",2,"06-12",76,5,7,0.090769939690298
7161834,2,1,2400,"06","02",FALSE,"low",1,"00-06",20,3,0,0.170064130407856
7135375,2,1,2910,"06","03",FALSE,"low",1,"00-06",47,6,1,0.079192655665658
7129249,2,2,4200,"06","02",FALSE,"low",1,"00-06",86,2,8,0.0523438704279686
7125143,1,1,3000,"06","04",FALSE,"low",1,"00-06",62,5,3,0.0519863781329264
7151407,2,1,1900,"06","12",TRUE,"medium",2,"06-12",40,10,0,0.294017731253369
7223550,1,1,4295,"06","02",FALSE,"low",1,"00-06",101,6,10,0.00580036303863925
7223021,1,1,2100,"06","02",FALSE,"high",3,"00-06",42,8,4,0.0194898196856698
7174183,3,1,4600,"06","18",FALSE,"low",1,"12-18",41,7,3,0.0519744334397217
7202273,1,1,2795,"06","01",FALSE,"low",1,"00-06",38,12,1,0.0881734408502892
7161696,3,1,2600,"06","02",FALSE,"medium",2,"00-06",53,4,2,0.101684009024921
7225795,1,1,4300,"06","05",FALSE,"low",1,"00-06",56,4,4,0.015079371717016
7095668,1,1,5005,"06","02",FALSE,"low",1,"00-06",98,6,4,0.0305832845093493
7234386,2,1,3045,"06","17",FALSE,"medium",2,"12-18",23,4,0,0.0140693728140236
7230215,2,1,1950,"06","03",FALSE,"medium",2,"00-06",82,7,8,0.124806259664252
7127331,3,1,5500,"06","06",FALSE,"low",1,"00-06",84,5,6,0.0253127511618144
7167945,2,2,3500,"06","03",FALSE,"low",1,"00-06",66,10,3,0.0821929760464975
7190799,1,1,3000,"06","04",FALSE,"medium",2,"00-06",87,7,6,0.0551693975984849
7120422,1,1,2895,"06","05",FALSE,"low",1,"00-06",44,3,3,0.0520983425012722
7220083,1,1,2950,"06","01",FALSE,"low",1,"00-06",36,4,5,0.0279033182861838
7103388,0,1,1900,"06","03",FALSE,"medium",2,"00-06",75,3,4,0.0961405876380019
7163634,2,1,1700,"06","05",FALSE,"medium",2,"00-06",4,15,0,0.108241893328691
7124748,2,1,3100,"06","03",FALSE,"medium",2,"00-06",153,6,10,0.0226898618633999
7220833,3,1,3400,"06","02",FALSE,"medium",2,"00-06",49,7,4,0.0837043221786089
7214952,3,2,6000,"06","03",TRUE,"low",1,"00-06",47,9,1,0.0294683275972679
7116891,3,1,2800,"06","17",FALSE,"medium",2,"12-18",44,4,5,0.135430891052893
7137270,3,2,5295,"06","05",FALSE,"medium",2,"00-06",30,3,5,0.0176414305366663
7137935,4,4,4295,"06","14",FALSE,"low",1,"12-18",40,9,1,0.122628913113429
7150092,3,0,2400,"06","11",TRUE,"low",1,"06-12",0,0,0,0.0984539121182147
7144140,0,1,2900,"06","18",TRUE,"medium",2,"12-18",67,6,0,0.00734230559020806
7100389,0,1,2090,"06","17",FALSE,"high",3,"12-18",40,2,5,0.0571203246785255
7221077,2,1,3400,"06","02",FALSE,"low",1,"00-06",77,5,5,0.0508858576755852
7219078,1,1,3150,"06","03",TRUE,"low",1,"00-06",63,5,5,0.0874541483943426
7095541,3,3,8500,"06","02",FALSE,"low",1,"00-06",69,5,5,0.0826679512954081
7203328,1,1,2195,"06","02",FALSE,"medium",2,"00-06",76,6,5,0.0357463457066676
7087981,1,1,2950,"06","01",FALSE,"medium",2,"00-06",58,6,8,0.0392082036234771
7229492,2,1,3000,"06","02",FALSE,"low",1,"00-06",21,6,0,0.104236898224091
7206615,4,3,8100,"06","02",FALSE,"low",1,"00-06",87,7,6,0.0340000995789765
7120758,5,2,7477,"06","05",FALSE,"low",1,"00-06",93,4,3,0.0322570056170766
7107623,3,1,3150,"06","02",TRUE,"medium",2,"00-06",73,9,3,0.117345955326033
7136685,3,1,3778,"06","05",FALSE,"medium",2,"00-06",33,8,2,0.0832334738634705
7146873,1,1,2395,"06","05",TRUE,"low",1,"00-06",24,15,2,0.0941614229468815
7173496,4,2,4750,"06","08",FALSE,"low",1,"06-12",79,6,8,0.00471690485170191
7223131,1,1,2600,"06","02",FALSE,"high",3,"00-06",81,6,3,0.0428666906977984
7126261,2,1,1900,"06","05",FALSE,"low",1,"00-06",84,6,14,0.148062406138023
7153662,2,1,2600,"06","01",FALSE,"low",1,"00-06",28,4,3,0.0205404243232724
7096174,2,1,3030,"06","02",FALSE,"medium",2,"00-06",24,4,0,0.0327403892979276
7169773,0,1,2575,"06","05",FALSE,"low",1,"00-06",62,3,5,0.00528386140809891
7166336,0,1,2600,"06","01",FALSE,"low",1,"00-06",7,0,5,0.027217189630448
7214496,2,1,4095,"06","02",TRUE,"low",1,"00-06",43,8,2,0.0631904256306306
7132195,3,1.5,5000,"06","06",FALSE,"low",1,"00-06",44,8,4,0.027068640368153
7105198,3,3,6200,"06","05",FALSE,"low",1,"00-06",125,8,11,0.0909411371788387
7105648,1,1,3195,"06","06",FALSE,"low",1,"00-06",47,3,3,0.0660193060504283
7112992,1,1,3800,"06","02",TRUE,"low",1,"00-06",14,9,5,0.0807517112597587
7192198,1,1,3161,"06","05",FALSE,"low",1,"00-06",69,5,9,0.0487786142830993
7105389,2,1,2850,"06","05",FALSE,"medium",2,"00-06",103,6,5,0.0666418009313988
7120917,0,1,2595,"06","05",FALSE,"high",3,"00-06",109,6,4,0.0498713576251945
7136806,2,1,2200,"06","05",FALSE,"high",3,"00-06",89,5,1,0.0535643223739445
7109319,3,1,5200,"06","04",TRUE,"low",1,"00-06",35,5,9,0.0357618969208833
7115282,2,2,4000,"06","02",FALSE,"medium",2,"00-06",30,12,7,0.0992719035345863
7146676,1,1,2650,"06","04",TRUE,"medium",2,"00-06",27,8,5,0.0789515687708603
7215893,1,1,3141,"06","04",TRUE,"low",1,"00-06",0,0,1,0.0130924921760487
7165629,3,2,2798,"06","16",FALSE,"medium",2,"12-18",44,6,14,0.0868580891534095
7219540,2,1,2990,"06","20",TRUE,"medium",2,"18-23",43,5,1,0.0287518902227274
7136465,1,1,2200,"06","04",FALSE,"low",1,"00-06",31,4,1,0.0602474353925484
7232225,1,1,2695,"06","05",FALSE,"low",1,"00-06",91,3,4,0.0204540003759595
7105202,3,2,7500,"06","05",FALSE,"medium",2,"00-06",84,7,14,0.0328225655819289
7126430,1,1,4970,"06","05",FALSE,"low",1,"00-06",23,5,9,0.00598424025085412
7111867,2,1,3300,"06","01",TRUE,"low",1,"00-06",122,6,1,0.0569705324828508
7146798,2,2,4590,"06","05",TRUE,"low",1,"00-06",110,37,4,0.0283021280362449
7092134,0,1,2350,"06","05",FALSE,"medium",2,"00-06",72,3,8,0.053585117256387
7156595,1,1,1650,"06","02",FALSE,"medium",2,"00-06",35,5,2,0.160921764939927
7230524,2,1,3025,"06","03",FALSE,"medium",2,"00-06",74,13,3,0.046875249027389
7096089,0,1,2550,"06","02",FALSE,"low",1,"00-06",101,3,5,0.0691885900375202
7204276,1,1,2900,"06","03",FALSE,"low",1,"00-06",62,4,9,0.0706421839369381
7187503,0,1,3695,"06","01",FALSE,"low",1,"00-06",0,0,12,0.034738484586694
7157119,2,2,3345,"06","11",FALSE,"low",1,"06-12",68,4,9,0.0982653655739428
7205310,0,1,3460,"06","04",FALSE,"low",1,"00-06",48,5,5,0.0906858387587595
7116785,2,2,2575,"06","15",FALSE,"low",1,"12-18",67,7,3,0.119423555261847
7220345,1,1,2995,"06","01",FALSE,"low",1,"00-06",75,2,1,0.0549463160856087
7213335,2,1,3200,"06","01",TRUE,"low",1,"00-06",0,0,3,0.0976523435017303
7226774,2,1.5,3855,"06","06",FALSE,"medium",2,"00-06",142,6,7,0.045920106613334
7139673,1,1,3650,"06","02",TRUE,"low",1,"00-06",183,0,4,0.0390012398697796
7158994,4,2,5500,"06","15",FALSE,"high",3,"12-18",36,7,6,0.0247310390275009
7233238,2,2,9500,"06","06",FALSE,"low",1,"00-06",93,7,19,0.0260423031120503
7139917,0,1,1952,"06","02",TRUE,"medium",2,"00-06",42,6,6,0.0578828441887623
7141300,1,1,2300,"06","04",TRUE,"medium",2,"00-06",72,3,2,0.0580725423188952
7145411,2,2,6000,"06","02",TRUE,"low",1,"00-06",31,6,7,0.0264815300045141
7207430,1,1,1850,"06","03",FALSE,"low",1,"00-06",83,6,5,0.12176652155408
7125901,1,1,2550,"06","05",FALSE,"low",1,"00-06",0,0,2,0.0673643838491831
7148635,1,1,2850,"06","09",TRUE,"low",1,"06-12",0,5,2,0.0295871095475794
7190493,0,1,3156,"06","04",FALSE,"low",1,"00-06",60,7,4,0.0174154159117761
7183609,1,1,2350,"06","18",FALSE,"medium",2,"12-18",111,5,9,0.00621254628795991
7105489,3,1,4400,"06","06",FALSE,"low",1,"00-06",105,4,12,0.0388886897616794
7199702,3,1,4000,"06","04",FALSE,"low",1,"00-06",51,4,3,0.0989368890322527
7232177,3,1,58020,"06","05",FALSE,"low",1,"00-06",38,5,1,0.0251798385892346
7699396,0,1,1975,"06","04",FALSE,"low",1,"00-06",23,4,3,0.0828702474436987
7187542,3,2,4000,"06","01",FALSE,"low",1,"00-06",138,4,2,0.102704406484729
7203495,2,1,3550,"06","02",FALSE,"medium",2,"00-06",72,6,12,0.0894757730974111
7154804,1,1,3100,"06","02",FALSE,"high",3,"00-06",60,5,10,0.0258758097724564
7213096,1,1,2050,"06","01",TRUE,"low",1,"00-06",17,1,3,0.0634241596821034
7229112,3,2,7000,"06","02",FALSE,"low",1,"00-06",87,8,14,0.0820336447525039
7195985,1,1,2750,"06","13",FALSE,"medium",2,"12-18",30,5,0,0.0920155625499269
7128989,1,1,1950,"06","02",FALSE,"high",3,"00-06",75,1,3,0.0491970929159528
7201340,0,1,1900,"06","06",FALSE,"medium",2,"00-06",58,4,3,0.089449284912627
7160416,0,1,2275,"06","15",FALSE,"low",1,"12-18",25,3,2,0.0888335633157905
7145487,1,1,3625,"06","02",TRUE,"low",1,"00-06",52,11,3,0.058933669420629
7132045,1,1,2695,"06","05",FALSE,"medium",2,"00-06",46,6,7,0.087288919980604
7127946,2,1,3295,"06","01",FALSE,"low",1,"00-06",63,7,3,0.0110536089753541
7164531,1,1,2795,"06","05",FALSE,"low",1,"00-06",85,3,1,0.0634423985311102
7221942,2,1,2900,"06","05",FALSE,"low",1,"00-06",23,6,1,0.0311903147047291
7192439,1,1,2275,"06","05",FALSE,"low",1,"00-06",0,0,0,0.088763266114878
7140922,3,1,4995,"06","04",TRUE,"medium",2,"00-06",29,5,3,0.0249699717937373
7181426,1,1,2100,"06","12",FALSE,"low",1,"06-12",20,6,2,0.0518781816506726
7088015,2,2,9095,"06","02",FALSE,"low",1,"00-06",190,7,4,0.0635035774691453
7162106,2,1,3420,"06","02",FALSE,"low",1,"00-06",165,8,14,0.0126176444465614
7138311,2,1,3200,"06","01",TRUE,"low",1,"00-06",44,0,1,0.0961405876380019
7188806,2,1,2595,"06","02",FALSE,"medium",2,"00-06",27,8,0,0.0956920558425825
7164370,0,1,3350,"06","05",FALSE,"low",1,"00-06",161,13,5,0.0352373823003317
7162259,0,1,3000,"06","02",FALSE,"low",1,"00-06",78,8,10,0.0117527295289205
7131606,2,1,3250,"06","05",FALSE,"high",3,"00-06",87,4,4,0.0216656754194282
7204441,0,1,2095,"06","03",FALSE,"low",1,"00-06",24,3,5,0.0498976856315003
7189092,0,0,2380,"06","03",FALSE,"low",1,"00-06",115,7,11,0.0589271045562231
7119739,0,1,2200,"06","04",FALSE,"low",1,"00-06",0,1,0,0.0836407241203762
7099579,0,1,2650,"06","06",FALSE,"low",1,"00-06",59,5,8,0.0552079767006531
7164940,3,1,2950,"06","06",FALSE,"low",1,"00-06",32,9,2,0.128748908932772
7091677,4,2,7995,"06","05",FALSE,"medium",2,"00-06",68,5,4,0.0302796844663187
7159173,1,1,2950,"06","15",FALSE,"low",1,"12-18",20,4,2,0.0579106954834765
7144584,1,1,3700,"06","01",TRUE,"low",1,"00-06",221,0,4,0.0561511099746092
7170465,3,1,5695,"06","06",FALSE,"low",1,"00-06",71,3,4,0.0290210560004246
7145105,1,1,2700,"06","02",TRUE,"low",1,"00-06",48,8,1,0.0760327143496777
7174989,2,2,4370,"06","02",FALSE,"low",1,"00-06",75,1,5,0.0318494017428946
7187660,2,2,5070,"06","01",FALSE,"low",1,"00-06",50,13,4,0.0368911766060732
7101204,1,1,2600,"06","01",FALSE,"medium",2,"00-06",38,5,3,0.0826271147467974
7174250,2,1,2500,"06","22",FALSE,"medium",2,"18-23",32,2,0,0.0846725217020232
7206561,0,1,2400,"06","02",FALSE,"low",1,"00-06",50,5,4,0.0809888874561203
7168239,1,1,4675,"06","03",FALSE,"low",1,"00-06",53,3,7,0.0167490695675955
7115466,2,1,2995,"06","02",FALSE,"medium",2,"00-06",37,6,5,0.0087962259736752
7150492,1,1,2550,"06","12",TRUE,"medium",2,"06-12",46,4,2,0.04369227976863
7200687,2,1,2600,"06","05",FALSE,"medium",2,"00-06",79,6,8,0.0980072796856476
7118336,1,1,2695,"06","02",FALSE,"low",1,"00-06",4,5,5,0.0473004719995469
7113766,3,1,4300,"06","04",TRUE,"medium",2,"00-06",54,8,7,0.0399936728918448
7234398,1,1,2650,"06","18",FALSE,"low",1,"12-18",35,3,5,0.0498813276826101
7219996,4,2,4495,"06","01",FALSE,"low",1,"00-06",72,0,2,0.0668703056025624
7166766,1,1,2660,"06","02",FALSE,"low",1,"00-06",33,12,3,0.0297907759445683
7168961,1,1,1925,"06","04",FALSE,"low",1,"00-06",36,4,2,0.135430891052893
7091303,3,1,3860,"06","05",FALSE,"low",1,"00-06",61,4,13,0.0304182345210857
7113377,2,1,3000,"06","03",TRUE,"high",3,"00-06",62,5,13,0.040503541960918
7116917,1,1,2395,"06","18",FALSE,"high",3,"12-18",56,6,3,0.0461918199617631
7157778,0,1,2850,"06","12",FALSE,"medium",2,"06-12",35,5,4,0.0247487403998699
7143672,2,1,5250,"06","06",TRUE,"low",1,"00-06",10,8,5,0.00471690485170191
7185468,3,1,3700,"06","19",FALSE,"medium",2,"18-23",58,5,10,0.0886062210647798
7209367,0,1,2099,"06","05",FALSE,"medium",2,"00-06",68,4,9,0.0499295232440701
7131313,1,1,3025,"06","04",FALSE,"low",1,"00-06",97,0,5,0.0387920531988172
7090615,1,1,2975,"06","04",FALSE,"low",1,"00-06",27,5,3,0.0832014446471927
7119653,0,1,2500,"06","04",FALSE,"low",1,"00-06",57,2,10,0.0439301337509888
7214357,2,2,6295,"06","02",TRUE,"low",1,"00-06",40,4,10,0.00803021490247693
7190958,0,1,1675,"06","04",FALSE,"medium",2,"00-06",18,14,3,0.0831384266833362
7185090,2,2,5025,"06","18",FALSE,"low",1,"12-18",91,7,14,0.0434120256539662
7106402,2,1,4050,"06","01",TRUE,"low",1,"00-06",57,5,3,0.0146153012757127
7091710,3,2,4950,"06","05",FALSE,"low",1,"00-06",48,4,8,0.0295504671939431
7229732,4,3,9000,"06","03",FALSE,"low",1,"00-06",54,8,10,0.0779238294193718
7191894,0,1,1825,"06","05",FALSE,"medium",2,"00-06",16,3,2,0.048865046315138
7110757,1,1,2850,"06","05",TRUE,"low",1,"00-06",33,6,3,0.0526246794895726
7099217,0,1,2195,"06","06",FALSE,"low",1,"00-06",36,5,3,0.0110536089753541
7225712,2,1,3700,"06","05",FALSE,"low",1,"00-06",34,8,6,0.0511047223980382
7168382,0,1,2650,"06","03",FALSE,"low",1,"00-06",165,7,12,0.0979222215402638
7233700,1,1,2700,"06","06",FALSE,"low",1,"00-06",36,6,3,0.0951819116816839
7194838,1,1,1800,"06","07",FALSE,"medium",2,"06-12",69,11,7,0.190128436356539
7087718,2,1,3000,"05","22",FALSE,"high",3,"18-23",14,5,1,0.0601987102135936
7176108,0,1,1825,"06","03",FALSE,"low",1,"00-06",0,4,2,0.048865046315138
7208072,2,1,3100,"06","04",FALSE,"low",1,"00-06",62,4,11,0.0126176444465614
7223233,2,1,2729,"06","02",FALSE,"medium",2,"00-06",48,3,3,0.0881023590568399
7142533,1,1,2000,"06","05",TRUE,"medium",2,"00-06",68,4,1,0.0926679003289679
7102561,2,1,2635,"06","03",FALSE,"low",1,"00-06",51,5,8,0.101097620107398
7151758,2,1,2700,"06","13",TRUE,"low",1,"12-18",10,0,0,0.0884295815402387
7155462,1,1,2350,"06","03",FALSE,"low",1,"00-06",115,5,7,0.108098950371313
7192662,2,1,3495,"06","05",FALSE,"low",1,"00-06",74,6,8,0.053585117256387
7158810,3,2,4892,"06","15",FALSE,"medium",2,"12-18",80,19,16,0.0446918604600402
7170591,0,1,1850,"06","06",FALSE,"medium",2,"00-06",54,4,3,0.0887778040468476
7300648,2,1,1800,"06","01",FALSE,"high",3,"00-06",21,4,3,0.0891631557953218
7147363,0,1,1425,"06","06",TRUE,"low",1,"00-06",44,3,1,0.137588145678979
7099751,1,1,2300,"06","07",FALSE,"medium",2,"06-12",107,7,3,0.0544833819745142
7210590,3,1,5450,"06","07",FALSE,"low",1,"06-12",51,6,7,0.0439586331837145
7153703,2,1,2100,"06","01",FALSE,"low",1,"00-06",10,0,3,0.108027690669477
7204272,0,1,1870,"06","03",FALSE,"low",1,"00-06",50,5,1,0.0675866554238316
7121308,2,1,2875,"06","06",FALSE,"high",3,"00-06",36,1,1,0.016185999239468
7168526,0,1,2300,"06","03",FALSE,"medium",2,"00-06",62,5,9,0.0706421839369381
7114682,4,2,3400,"06","01",FALSE,"medium",2,"00-06",52,3,1,0.139295375556332
7223738,1,1,4025,"06","02",FALSE,"low",1,"00-06",60,7,5,0.0883397026901249
7134558,2,1,2500,"06","02",FALSE,"low",1,"00-06",68,4,5,0.0555490577001984
7226520,0,1,3345,"06","05",FALSE,"low",1,"00-06",36,7,5,0.0349599995906715
7112715,1,1,3900,"06","02",TRUE,"low",1,"00-06",58,10,5,0.08828026286424
7087774,0,1,2100,"06","01",FALSE,"low",1,"00-06",13,7,1,0.0252225433170373
7161513,1,1,2795,"06","01",FALSE,"low",1,"00-06",34,5,5,0.0183489136294207
